"3652","Embassy Hotels","Hotels and Motels",
"3653","Penta Hotels","Hotels and Motels",
"3654","Loews Hotels","Hotels and Motels",
"3655","Scandic Hotels","Hotels and Motels",
"3656","Sara Hotels","Hotels and Motels",
"3657","Oberoi Hotels","Hotels and Motels",
"3658","New Otani Hotels","Hotels and Motels",
"3659","Taj Hotels International","Hotels and Motels",
"3660","Knights Inn","Hotels and Motels",
"3661","Metropole Hotels","Hotels and Motels",
"3662","Circus Circus Hotel and Casino","Hotels and Motels",
"3663","Hoteles El Presidente","Hotels and Motels",
"3664","Flag Inns","Hotels and Motels",
"3665","Hampton Inn Hotels","Hotels and Motels",
"3666","Stakis Hotels","Hotels and Motels",
"3667","Luxor Hotel and Casino","Hotels and Motels",
"3668","Maritim Hotels","Hotels and Motels",
"3669","Eldorado Hotel and Casino","Hotels and Motels",
"3670","Arcade Hotels","Hotels and Motels",
"3671","Arctia Hotels","Hotels and Motels",
"3672","Campanile Hotels","Hotels and Motels",
"3673","IBUSZ Hotels","Hotels and Motels",
"3674","Rantasipi Hotels","Hotels and Motels",
"3675","Interhotel CEDOK","Hotels and Motels",
"3676","Monte Carlo Hotel and Casino","Hotels and Motels",
"3677","Climat de France Hotels","Hotels and Motels",
"3678","Cumulus Hotels","Hotels and Motels",
"3679","Silver Legacy Hotel and Casino","Hotels and Motels",
"3680","Hoteis Othan","Hotels and Motels",
"3681","Adams Mark Hotels","Hotels and Motels",
"3682","Sahara Hotel and Casino","Hotels and Motels",
"3683","Bradbury Suites","Hotels and Motels",
"3684","Budget Hosts Inns","Hotels and Motels",
"3685","Budgetel Inns","Hotels and Motels",
"3686","Susse Chalet","Hotels and Motels",
"3687","Clarion Hotels","Hotels and Motels",
"3688","Compri Hotels","Hotels and Motels",
"3689","Consort Hotels","Hotels and Motels",
"3690","Courtyard by Marriott","Hotels and Motels",
"3691","Dillon Inn","Hotels and Motels",
"3692","Doubletree","Hotels and Motels",
"3693","Drury Inn","Hotels and Motels",
"3694","Economy Inns of America","Hotels and Motels",
"3695","Embassy Suites","Hotels and Motels",
"3696","Excel Inn","Hotels and Motels",
"3697","Fairfield Hotels","Hotels and Motels",
